KodeBPS,KodeProv,NamaProv,KabKot,Kategori,Produk,Harga,Tahun,Bulan
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,163333,2022,April
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,170000,2022,Mei
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,127167,2022,Juni
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,148333,2022,Juli
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2022,Agustus
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2022,September
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2022,Oktober
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2022,November
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2022,Desember
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2023,Januari
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2023,Februari
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150968,2023,Maret
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,151379,2023,April
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2023,Mei
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,151333,2023,Juni
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2023,Juli
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2023,Agustus
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2023,September
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2023,Oktober
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2023,November
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2023,Desember
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2024,Januari
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,150000,2024,Februari
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,151875,2024,Maret
11.14,11,Aceh,Kab. Aceh Jaya,Protein,Daging Sapi Murni,151786,2024,April
